Accession,Length,Geo_Location,Collection_Date,GenBank_Title
MT325592,29882,USA: NE,2020-03-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NE_6605/2020, complete genome"
MT325587,29882,USA: MD,2020-03-04,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MD_0026/2020, complete genome"
MT325590,29882,USA: NC,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NC_0031/2020, complete genome"
MT325594,29882,USA: NH,2020-03-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NH_0029/2020, complete genome"
MT325602,29882,USA: PA,2020-03-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/PA_2937/2020, complete genome"
MT325605,29882,USA: RI,2020-03-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/RI_0702/2020, complete genome"
MT325606,29882,USA: SC,2020-03-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/SC_3569/2020, complete genome"
MT326027,29863,USA,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1977/2020, complete genome"
MT326028,29823,USA,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1986/2020, complete genome"
MT325614,29882,USA: VA,2020-03-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA_6389/2020, complete genome"
MT326030,29853,USA,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2009/2020, complete genome"
MT325617,29882,USA: IA,2020-03-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IA_6396/2020, complete genome"
MT325618,29882,USA: IA,2020-03-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IA_6395/2020, complete genome"
MT325619,29882,USA: IA,2020-03-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IA_6401/2020, complete genome"
MT325621,29882,USA: IA,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IA_6390/2020, complete genome"
MT325622,29882,USA: NJ,2020-03-04,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NJ_3201/2020, complete genome"
MT326039,29792,USA,2020-03-23,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1863/2020, complete genome"
MT326046,29777,USA,2020-03-23,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1854/2020, complete genome"
MT325636,29882,USA: MA,2020-03-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA_3614/2020, complete genome"
MT325637,29882,USA: MA,2020-03-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA_3616/2020, complete genome"
MT326055,29860,USA,2020-03-21,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1879/2020, complete genome"
MT325640,29882,USA: MA,2020-03-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA_3653/2020, complete genome"
MT326065,29892,USA,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1880/2020, complete genome"
MT326074,29839,USA,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-UW-1925/2020, complete genome"
MT325565,29882,USA: FL,2020-03-02,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL_7169/2020, complete genome"
MT325568,29882,USA: FL,2020-03-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL_9656/2020, complete genome"
MT325577,29882,USA: IL,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IL_0087/2020, complete genome"
MT325576,29882,USA: IA,2020-03-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IA_6394/2020, complete genome"
MT325588,29882,USA: MO,2020-03-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MO_4470/2020, complete genome"
MT325589,29882,USA: NC,2020-03-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NC_0024/2020, complete genome"
MT325599,29882,USA: PA,2020-03-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/PA_1802/2020, complete genome"
MT325603,29882,USA: PA,2020-03-09,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/PA_4395/2020, complete genome"
MT325639,29882,USA: MA,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA_3642/2020, complete genome"
MT325608,29882,USA: SC,2020-03-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/SC_6370/2020, complete genome"
MT325611,29882,USA: VA,2020-03-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA_6352/2020, complete genome"
MT325612,29882,USA: VA,2020-03-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA_6377/2020, complete genome"
MT325615,29882,USA: IA,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IA_6391/2020, complete genome"
MT325616,29882,USA: MA,2020-03-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA_3623/2020, complete genome"
MT326035,29778,USA,2020-03-23,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1868/2020, complete genome"
MT325625,29882,USA: SC,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/SC_3571/2020, complete genome"
MT325626,29882,USA: SC,2020-03-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/SC_3572/2020, complete genome"
MT326048,29871,USA,2020-03-23,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1870/2020, complete genome"
MT326054,29714,USA,2020-03-23,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1904/2020, complete genome"
MT326076,29839,USA,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1944/2020, complete genome"
MT325562,29882,USA: AZ,2020-03-09,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/AZ_8135/2020, complete genome"
MT325563,29882,USA: DC,2020-03-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/DC_0004/2020, complete genome"
MT325613,29882,USA: VA,2020-03-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA_6382/2020, complete genome"
MT325620,29882,USA: IA,2020-03-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IA_6399/2020, complete genome"
MT325623,29882,USA: SC,2020-03-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/SC_3520/2020, complete genome"
MT325628,29882,USA: VA,2020-03-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/VA_6171/2020, complete genome"
MT325631,29882,USA: MA,2020-03-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA_9703/2020, complete genome"
MT325632,29882,USA: MA,2020-03-04,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA_9704/2020, complete genome"
MT325634,29882,USA: MA,2020-03-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA_1355/2020, complete genome"
MT325624,29882,USA: SC,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/SC_3570/2020, complete genome"
MT325629,29882,USA: MA,2020-03-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA_8932/2020, complete genome"
MT325635,29882,USA: MA,2020-03-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA_2652/2020, complete genome"
MT326041,29774,USA,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/OR-UW-1849/2020, complete genome"
MT326049,29833,USA,2020-03-23,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1872/2020, complete genome"
MT326056,29865,USA,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1878/2020, complete genome"
MT326061,29869,USA,2020-03-23,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/OR-UW-1885/2020, complete genome"
MT326067,29870,USA,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1956/2020, complete genome"
MT326069,29882,USA,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1890/2020, complete genome"
MT326071,29846,USA,2020-03-22,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-UW-1938/2020, complete genome"
MT326082,29833,USA,2020-03-23,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1865/2020, complete genome"
MT326083,29683,USA,2020-03-22,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1907/2020, complete genome"
MT326023,29858,USA,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2006/2020, complete genome"
MT326040,29820,USA,2020-03-21,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/OR-UW-1851/2020, complete genome"
MT326042,29867,USA,2020-03-23,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1843/2020, complete genome"
MT326051,29853,USA,2020-03-23,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1919/2020, complete genome"
MT326052,29892,USA,2020-03-23,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1913/2020, complete genome"
MT326053,29763,USA,2020-03-23,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1920/2020, complete genome"
MT326058,29830,USA,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1930/2020, complete genome"
MT326063,29872,USA,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1881/2020, complete genome"
MT326068,29864,USA,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1921/2020, complete genome"
MT326070,29834,USA,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1928/2020, complete genome"
MT326078,29838,USA,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1954/2020, complete genome"
MT326081,29836,USA,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1984/2020, complete genome"
MT326137,29862,USA,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1715/2020, complete genome"
MT328032,29903,Greece,2020-03-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/10/2020, complete genome"
MT328033,29875,Greece,2020-03-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/12/2020, complete genome"
MT328034,29884,Greece,2020-03-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/16/2020, complete genome"
MT328035,29903,Greece,2020-03-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/GRC/13/2020, complete genome"
MT324062,29903,South Africa: KwaZulu-Natal,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/ZAF/R03006/2020, complete genome"
MT325566,29882,USA: FL,2020-03-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL_9590/2020, complete genome"
MT325564,29882,USA: FL,2020-03-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/FL_1177/2020, complete genome"
MT325570,29882,USA: GA,2020-03-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA_1847/2020, complete genome"
MT325575,29882,USA: GA,2020-03-10,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA_2343/2020, complete genome"
MT325579,29882,USA: IN,2020-03-09,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IN_2001/2020, complete genome"
MT325580,29882,USA: KS,2020-03-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/KS_4126/2020, complete genome"
MT325584,29882,USA: MA,2020-03-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA_3699/2020, complete genome"
MT325586,29882,USA: MA,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA_4811/2020, complete genome"
MT325596,29882,USA: NJ,2020-03-04,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NJ_3592/2020, complete genome"
MT325597,29882,USA: NV,2020-03-09,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NV_0052/2020, complete genome"
MT325598,29882,USA: OH,2020-03-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/OH_0023/2020, complete genome"
MT325593,29882,USA: NE,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NE_7025/2020, complete genome"
MT325600,29882,USA: PA,2020-03-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/PA_1881/2020, complete genome"
MT325601,29882,USA: PA,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/PA_2317/2020, complete genome"
MT325595,29882,USA: NH,2020-03-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NH_0033/2020, complete genome"
MT325604,29882,USA: PA,2020-03-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/PA_4405/2020, complete genome"
MT325607,29882,USA: SC,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/SC_3575/2020, complete genome"
MT326024,29685,USA,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1994/2020, complete genome"
MT325609,29882,USA: UT,2020-03-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT_8199/2020, complete genome"
MT325610,29882,USA: UT,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT_8906/2020, complete genome"
MT326029,29863,USA,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-2016/2020, complete genome"
MT326036,29747,USA,2020-03-23,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1864/2020, complete genome"
MT325627,29882,USA: NY,2020-03-04,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NY_1922/2020, complete genome"
MT325630,29882,USA: MA,2020-03-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA_8933/2020, complete genome"
MT325633,29882,USA: MA,2020-03-04,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA_9889/2020, complete genome"
MT325638,29882,USA: MA,2020-03-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA_3626/2020, complete genome"
MT327745,29832,Turkey,2020-03-17,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/TUR/ERAGEM-001/2020, complete genome"
MT326066,29870,USA,2020-03-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1955/2020, complete genome"
MT326075,29836,USA,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/ID-UW-1934/2020, complete genome"
MT326085,29795,USA,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UNKNOWN-UW-1791/2020, complete genome"
MT326096,29876,USA,2020-03-22,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1779/2020, complete genome"
MT326084,29827,USA,2020-03-22,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1917/2020, complete genome"
MT326094,29749,USA,2020-03-22,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1778/2020, complete genome"
MT326095,29880,USA,2020-03-22,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1797/2020, complete genome"
MT325573,29882,USA: GA,2020-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA_2120/2020, complete genome"
MT325574,29882,USA: GA,2020-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/GA_2185/2020, complete genome"
MT325585,29882,USA: MA,2020-03-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA_3878/2020, complete genome"
MT326091,29710,USA,2020-03-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UNKNOWN-UW-1832/2020, complete genome"
MT326132,29888,USA,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1716/2020, complete genome"
MT326133,29832,USA,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1712/2020, complete genome"
MT326099,29861,USA,2020-03-22,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1799/2020, complete genome"
MT326149,29725,USA,2020-03-21,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1745/2020, complete genome"
MT326118,29871,USA,2020-03-21,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1728/2020, complete genome"
MT326119,29854,USA,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1661/2020, complete genome"
MT326120,29848,USA,2020-03-21,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1726/2020, complete genome"
MT326167,29897,USA,2020-03-21,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1753/2020, complete genome"
MT326169,29830,USA,2020-03-22,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1770/2020, complete genome"
MT326127,29861,USA,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1651/2020, complete genome"
MT326130,29790,USA,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1697/2020, complete genome"
MT326180,29841,USA,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1575/2020, complete genome"
MT326181,29641,USA,2020-03-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IL-UW-1311/2020, complete genome"
MT326136,29695,USA,2020-03-19,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1689/2020, complete genome"
MT326185,29823,USA,2020-03-17,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1342/2020, complete genome"
MT326138,29766,USA,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1670/2020, complete genome"
MT326187,29919,USA,2020-03-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1294/2020, complete genome"
MT326190,29913,USA,2020-03-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1436/2020, complete genome"
MT325583,29882,USA: MA,2020-03-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MA_3672/2020, complete genome"
MT326123,29744,USA,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1656/2020, complete genome"
MT326092,29890,USA,2020-03-22,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1774/2020, complete genome"
MT326103,29868,USA,2020-03-22,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UNKNOWN-UW-1817/2020, complete genome"
MT326150,29876,USA,2020-03-21,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1707/2020, complete genome"
MT326111,29777,USA,2020-03-22,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1822/2020, complete genome"
MT326112,29814,USA,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1644/2020, complete genome"
MT326113,29858,USA,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1646/2020, complete genome"
MT326159,29836,USA,2020-03-21,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1722/2020, complete genome"
MT326116,29865,USA,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1683/2020, complete genome"
MT326117,29890,USA,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1688/2020, complete genome"
MT326124,29765,USA,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1672/2020, complete genome"
MT326135,29794,USA,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1718/2020, complete genome"
MT326140,29868,USA,2020-03-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1680/2020, complete genome"
MT326089,29851,USA,2020-03-21,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1792/2020, complete genome"
MT326090,29794,USA,2020-03-21,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-UW-1796/2020, complete genome"
