Accession,Length,Geo_Location,Collection_Date,GenBank_Title
MT246475,29877,USA,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW218/human/2020/USA, complete genome"
MT246476,29863,USA,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW219/human/2020/USA, complete genome"
MT246481,29873,USA,2020-03-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW224/human/2020/USA, complete genome"
MT246482,29844,USA,2020-03-15,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW225/human/2020/USA, complete genome"
MT246484,29870,USA,2020-03-15,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW227/human/2020/USA, complete genome"
MT246486,29867,USA,2020-03-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW229/human/2020/USA, complete genome"
MT246487,29883,USA,2020-03-15,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW230/human/2020/USA, complete genome"
MT246488,29842,USA,2020-03-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW231/human/2020/USA, complete genome"
MT246489,29864,USA,2020-03-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW232/human/2020/USA, complete genome"
MT246490,29850,USA,2020-03-15,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA-UW233/human/2020/USA, complete genome"
MT240479,29836,Pakistan,2020-03-04,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Gilgit1/human/2020/PAK, complete genome"
MT233520,29782,Spain,2020-02-26,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Valencia4/human/2020/ESP, partial genome"
MT233521,29782,Spain,2020-02-27,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Valencia6/human/2020/ESP, partial genome"
MT233522,29782,Spain,2020-03-02,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Valencia7/human/2020/ESP, complete genome"
MT232869,338,Iran,2020-02-26,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/MHKN-1/human/2020/IRN orf1ab polyprotein, RdRp region, (orf1ab) gene, partial cds"
MT232870,338,Iran,2020-02-26,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/MHKN-2/human/2020/IRN orf1ab polyprotein, RdRp region, (orf1ab) gene, partial cds"
MT232872,158,Iran,2020-02-26,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/MHKN-2/human/2020/IRN surface glycoprotein (S) gene, partial cds"
MT233519,29782,Spain,2020-02-27,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Valencia5/human/2020/ESP, complete genome"
MT233523,29782,Spain,2020-03-04,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Valencia8/human/2020/ESP, complete genome"
MT232871,157,Iran,2020-02-26,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/MHKN-1/human/2020/IRN surface glycoprotein (S) gene, partial cds"
MT226610,29899,China,2020-01-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/KMS1/human/2020/CHN, complete genome"
MT198653,29611,Spain,2020-03-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Valencia001/human/2020/ESP, partial genome"
MT198651,29611,Spain,2020-03-04,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Valencia002/human/2020/ESP, partial genome"
MT198652,29782,Spain,2020-03-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/Valencia003/human/2020/ESP, complete genome"
MT192772,29891,Viet Nam,2020-01-22,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/nCoV-19-01S/human/2020/VNM, complete genome"
MT192758,440,Italy,2020-03-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/MBS-Cagliari-2/human/2020/ITA nucleocapsid phosphoprotein (N) gene, partial cds"
MT192765,29829,USA,2020-03-11,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/PC00101P/human/2020/USA, complete genome"
MT192759,29862,Taiwan,2020-01-25,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/CGMH-CGU-01/human2020/TWN, complete genome"
MT192773,29890,Viet Nam,2020-01-22,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/nCoV-19-02S/human/2020/VNM, complete genome"
MT188340,29845,USA,2020-03-07,"Severe acute respiratory syndrome coronavirus 2 isolate USA/MN2-MDH2/2020, complete genome"
MT186677,363,Iran,2020-02-09,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/255194/human/2020/IRN nucleocapsid phosphoprotein (N) gene, partial cds"
MT186678,363,Iran,2020-02-22,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/25Aq/human/2020/IRN nucleocapsid phosphoprotein (N) gene, partial cds"
MT186679,363,Iran,2020-03-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/1319/human/2020/IRN nucleocapsid phosphoprotein (N) gene, partial cds"
MT188339,29783,USA,2020-03-09,"Severe acute respiratory syndrome coronavirus 2 isolate USA/MN3-MDH3/2020, complete genome"
MT187977,406,Italy,2020-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/MBS-Cagliari-1/human/2020/ITA nucleocapsid phosphoprotein (N) gene, partial cds"
MT186676,363,Iran,2020-03-03,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/1337/human/2020/IRN nucleocapsid phosphoprotein (N) gene, partial cds"
MT186681,363,Iran,2020-02-28,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/15AW/human/2020/IRN nucleocapsid phosphoprotein (N) gene, partial cds"
MT188341,29835,USA,2020-03-05,"Severe acute respiratory syndrome coronavirus 2 isolate USA/MN1-MDH1/2020, complete genome"
MT186680,363,Iran,2020-02-17,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/257182/human/2020/IRN nucleocapsid phosphoprotein (N) gene, partial cds"
MT186682,363,Iran,2020-02-28,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/9BE/human/2020/IRN nucleocapsid phosphoprotein (N) gene, partial cds"
MT184908,29880,USA,2020-02-21,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-21/2020, complete genome"
MT184909,29882,USA,2020-02-21,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-22/2020, complete genome"
MT184910,29882,USA,2020-02-18,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-23/2020, complete genome"
MT184907,29882,USA,2020-02-18,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-19/2020, complete genome"
MT184911,29882,USA,2020-02-17,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-24/2020, complete genome"
MT184913,29882,USA,2020-02-24,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-26/2020, complete genome"
MT184912,29882,USA,2020-02-17,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-25/2020, complete genome"
MT163719,29903,USA,2020-03-01,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA7-UW4/human/2020/USA, complete genome"
MT163716,29903,USA,2020-02-27,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA3-UW1/human/2020/USA, complete genome"
MT163717,29897,USA,2020-02-28,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA4-UW2/human/2020/USA, complete genome"
MT163718,29903,USA,2020-02-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA6-UW3/human/2020/USA, complete genome"
MT163712,87,Iran,2020-02-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/mehr1/human/2020/IRN ORF1ab polyprotein, 3'-to-5' exonuclease region, gene, partial cds"
MT163714,399,India,2020-02-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/341/human/2020/IND nucleocapsid protein (N) gene, partial cds"
MT163737,322,Iran,2020-02-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/MHKN-2/human/2020/IRN ORF1ab polyprotein gene, partial cds"
MT163720,29732,USA,2020-03-01,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA8-UW5/human/2020/USA, partial genome"
MT163715,264,India,2020-02-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/341/human/2020/IND nucleocapsid protein (N) gene, partial cds"
MT163721,29325,USA,2020-03-01,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA9-UW6/human/2020/USA, partial genome"
MT163738,322,Iran,2020-02-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/MHKN-4/human/2020/IRN ORF1ab polyprotein gene, partial cds"
MT159705,29882,USA,2020-02-17,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-7/2020, complete genome"
MT159722,29882,USA,2020-02-21,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-6/2020, complete genome"
MT159710,29882,USA,2020-02-17,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-9/2020, complete genome"
MT159715,29882,USA,2020-02-24,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-17/2020, complete genome"
MT159716,29867,USA,2020-02-24,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-18/2020, complete genome"
MT159711,29882,USA,2020-02-20,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-13/2020, complete genome"
MT159712,29882,USA,2020-02-25,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-14/2020, complete genome"
MT159717,29882,USA,2020-02-17,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-1/2020, complete genome"
MT159719,29882,USA,2020-02-18,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-3/2020, complete genome"
MT159720,29882,USA,2020-02-21,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-4/2020, complete genome"
MT159709,29882,USA,2020-02-20,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-12/2020, complete genome"
MT121215,29945,China,2020-02-02,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/SH01/human/2020/CHN, complete genome"
MT159718,29882,USA,2020-02-18,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-2/2020, complete genome"
MT159721,29882,USA,2020-02-21,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-5/2020, complete genome"
MT159708,29882,USA,2020-02-17,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-11/2020, complete genome"
MT159714,29882,USA,2020-02-18,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-16/2020, complete genome"
MT159707,29882,USA,2020-02-17,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-10/2020, complete genome"
MT066156,29867,Italy,2020-01-30,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/INMI1/human/2020/ITA, complete genome"
MT159706,29882,USA,2020-02-17,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-8/2020, complete genome"
MT159778,483,Nigeria,2020-02-27,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/NG01/human/2020/NGA ORF1ab polyprotein, RdRp region, (orf1ab) gene, partial cds"
MT161607,253,Italy,2020-03-05,Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/NIAA05032020/human/2020/ITA 5' UTR
MT159713,29882,USA,2020-02-18,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CruiseA-15/2020, complete genome"
LC529905,29903,Japan,2020-01,"Severe acute respiratory syndrome coronavirus 2 TKYE6182_2020 RNA, complete genome"
MT012098,29854,India,2020-01-27,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/29/human/2020/IND, complete genome"
MT050493,29851,India,2020-01-31,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/166/human/2020/IND, complete genome"
MT152824,29878,USA,2020-02-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WA2/human/2020/USA, complete genome"
MT152900,322,Iran,2020-02-26,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/MHKN-1/human/2020/IRN ORF1ab polyprotein (orf1ab) gene, partial cds"
MT135041,29903,China,2020-01-26,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/105/human/2020/CHN, complete genome"
MT135042,29903,China,2020-01-28,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/231/human/2020/CHN, complete genome"
MT135043,29903,China,2020-01-28,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/233/human/2020/CHN, complete genome"
MT135044,29903,China,2020-01-28,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/235/human/2020/CHN, complete genome"
MT126808,29876,Brazil,2020-02-28,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/SP02/human/2020/BRA, complete genome"
MT127113,615,Viet Nam,2020-02-10,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/NIHE/human/2020/VIE ORF1ab polyprotein, 3'-to-5' exonuclease region, gene, partial cds"
MT127114,1411,Viet Nam,2020-02-10,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/NIHE/human/2020/VIE ORF8 protein (ORF8) gene, partial cds; and nucleocapsid phosphoprotein (N) gene, complete cds"
MT127115,1269,Viet Nam,2020-02-10,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/NIHE/human/2020/VIE ORF3a (orf3a) gene, partial cds; envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; and ORF7a protein (ORF7a) gene, partial cds"
MT127116,459,Viet Nam,2020-02-10,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/NIHE/human/2020/VIE ORF1ab polyprotein, RdRp region, gene, partial cds"
LC528233,29902,Unknown,2020-02-10,"Severe acute respiratory syndrome coronavirus 2 SARS-CoV-2/Hu/DP/Kng/19-027 RNA, complete genome"
LC528232,29902,Unknown,2020-02-10,"Severe acute respiratory syndrome coronavirus 2 SARS-CoV-2/Hu/DP/Kng/19-020 RNA, complete genome"
MT123292,29923,China,2020-01-27,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/IQTC04/human/2020/CHN, complete genome"
MT123290,29891,China,2020-02-05,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/IQTC01/human/2020/CHN, complete genome"
MT123291,29882,China,2020-01-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/IQTC02/human/2020/CHN, complete genome"
MT123293,29871,China,2020-01-29,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/IQTC03/human/2020/CHN, complete genome"
MT118835,29882,USA,2020-02-23,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA9/2020, complete genome"
MT111896,569,Australia,2020-02,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/QLD05/human/2020_FSS918/AUS ORF3a (orf3a) and envelope protein (E) genes, partial cds"
MT111895,770,Australia,2020-02,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/QLD05/human/2020_FSS918/AUS ORF1ab polyprotein, NSP3 region, (orf1ab) gene, partial cds"
MT106053,29882,USA,2020-02-10,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA8/2020, complete genome"
MT106052,29882,USA,2020-02-06,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-CA7/2020, complete genome"
MT106054,29882,USA,2020-02-11,"Severe acute respiratory syndrome coronavirus 2 isolate 2019-nCoV/USA-TX1/2020, complete genome"
MT093631,29860,China,2020-01-08,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/WH-09/human/2020/CHN, complete genome"
MT093571,29886,Sweden,2020-02-07,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/01/human/2020/SWE, complete genome"
MT081060,1260,China,2020-01-23,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HS_17/human/2020/CHN nucleocapsid phosphoprotein (N) gene, complete cds"
MT081063,1260,China,2020-01-26,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HS_46/human/2020/CHN nucleocapsid phosphoprotein (N) gene, complete cds"
MT081064,1260,China,2020-01-28,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HS_64/human/2020/CHN nucleocapsid phosphoprotein (N) gene, complete cds"
MT081066,1260,China,2020-01-30,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HS_86/human/2020/CHN nucleocapsid phosphoprotein (N) gene, complete cds"
MT081068,1260,China,2020-02-06,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HS_194/human/2020/CHN nucleocapsid phosphoprotein (N) gene, complete cds"
MT081061,1260,China,2020-01-23,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HS_18/human/2020/CHN nucleocapsid phosphoprotein (N) gene, complete cds"
MT081067,1260,China,2020-01-31,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HS_92/human/2020/CHN nucleocapsid phosphoprotein (N) gene, complete cds"
MT081059,1260,China,2020-01-22,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HS_8/human/2020/CHN nucleocapsid phosphoprotein (N) gene, complete cds"
MT081062,1260,China,2020-01-25,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HS_38/human/2020/CHN nucleocapsid phosphoprotein (N) gene, complete cds"
MT081065,1260,China,2020-01-30,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/HS_84/human/2020/CHN nucleocapsid phosphoprotein (N) gene, complete cds"
